class,elements,total_time,threads,write_level
ConcurrentHashMap,1000,6,1,1
ConcurrentHashMap,1000,5,2,1
ConcurrentHashMap,1000,6,3,1
ConcurrentHashMap,1000,8,4,1
ConcurrentHashMap,1000,11,5,1
ConcurrentHashMap,1000,8,6,1
ConcurrentHashMap,1000,15,7,1
ConcurrentHashMap,1000,9,8,1
ConcurrentHashMap,1000,7,9,1
ConcurrentHashMap,1000,15,10,1
SynchronizedMap,1000,1,1,1
SynchronizedMap,1000,5,2,1
SynchronizedMap,1000,6,3,1
SynchronizedMap,1000,10,4,1
SynchronizedMap,1000,12,5,1
SynchronizedMap,1000,24,6,1
SynchronizedMap,1000,31,7,1
SynchronizedMap,1000,19,8,1
SynchronizedMap,1000,33,9,1
SynchronizedMap,1000,33,10,1
SynchronizedRandomAccessList,1000,2,1,1
SynchronizedRandomAccessList,1000,4,2,1
SynchronizedRandomAccessList,1000,5,3,1
SynchronizedRandomAccessList,1000,9,4,1
SynchronizedRandomAccessList,1000,13,5,1
SynchronizedRandomAccessList,1000,24,6,1
SynchronizedRandomAccessList,1000,47,7,1
SynchronizedRandomAccessList,1000,67,8,1
SynchronizedRandomAccessList,1000,96,9,1
SynchronizedRandomAccessList,1000,138,10,1
CopyOnWriteArrayList,1000,1,1,1
CopyOnWriteArrayList,1000,5,2,1
CopyOnWriteArrayList,1000,21,3,1
CopyOnWriteArrayList,1000,56,4,1
CopyOnWriteArrayList,1000,41,5,1
CopyOnWriteArrayList,1000,59,6,1
CopyOnWriteArrayList,1000,154,7,1
CopyOnWriteArrayList,1000,298,8,1
CopyOnWriteArrayList,1000,190,9,1
CopyOnWriteArrayList,1000,244,10,1
ConcurrentHashMap,2000,1,1,1
ConcurrentHashMap,2000,2,2,1
ConcurrentHashMap,2000,3,3,1
ConcurrentHashMap,2000,3,4,1
ConcurrentHashMap,2000,4,5,1
ConcurrentHashMap,2000,5,6,1
ConcurrentHashMap,2000,17,7,1
ConcurrentHashMap,2000,10,8,1
ConcurrentHashMap,2000,8,9,1
ConcurrentHashMap,2000,10,10,1
SynchronizedMap,2000,1,1,1
SynchronizedMap,2000,2,2,1
SynchronizedMap,2000,4,3,1
SynchronizedMap,2000,7,4,1
SynchronizedMap,2000,13,5,1
SynchronizedMap,2000,17,6,1
SynchronizedMap,2000,31,7,1
SynchronizedMap,2000,17,8,1
SynchronizedMap,2000,34,9,1
SynchronizedMap,2000,66,10,1
SynchronizedRandomAccessList,2000,9,1,1
SynchronizedRandomAccessList,2000,31,2,1
SynchronizedRandomAccessList,2000,55,3,1
SynchronizedRandomAccessList,2000,97,4,1
SynchronizedRandomAccessList,2000,178,5,1
SynchronizedRandomAccessList,2000,232,6,1
SynchronizedRandomAccessList,2000,301,7,1
SynchronizedRandomAccessList,2000,368,8,1
