impl,nthreads,snapshot,time,total,mem_heap_B,mem_heap_extra_B,mem_stacks_B
golang,10,0,0,0.0,0,0,0
golang,10,1,14662920,87832.0,3168,88,84576
golang,10,2,22590528,87872.0,3168,88,84616
golang,10,3,36844976,94960.0,4503,441,90016
golang,10,4,45172848,95024.0,4503,441,90080
golang,10,5,55944480,97168.0,4503,441,92224
golang,10,6,66946520,103400.0,4503,441,98456
golang,10,7,76699608,103128.0,4503,441,98184
golang,10,8,83996880,105760.0,4503,441,100816
golang,10,9,97044632,107864.0,4503,441,102920
golang,10,10,106311400,106632.0,4503,441,101688
golang,10,11,115578424,106344.0,4503,441,101400
golang,10,12,130637240,106296.0,4503,441,101352
golang,10,13,142513864,108968.0,4503,441,104024
golang,10,14,153607536,195088.0,4503,441,190144
golang,10,15,167388496,194032.0,4503,441,189088
golang,10,16,179916728,194424.0,4503,441,189480
golang,10,17,191192112,193408.0,4503,441,188464
golang,10,18,207478680,194424.0,4503,441,189480
golang,10,19,219940720,197040.0,4503,441,192096
golang,10,20,229662408,194776.0,4503,441,189832
golang,10,21,237179648,186592.0,4503,441,181648
golang,10,22,249708192,189232.0,4503,441,184288
golang,10,23,257225536,190448.0,4503,441,185504
golang,10,24,269754256,190160.0,4503,441,185216
golang,10,25,279777352,189880.0,4503,441,184936
golang,10,26,289800280,189880.0,4503,441,184936
golang,10,27,297317496,190312.0,4503,441,185368
golang,10,28,307340560,192768.0,4503,441,187824
golang,10,29,322284400,322320.0,4503,441,317376
golang,10,30,339276544,319440.0,4503,441,314496
golang,10,31,356268456,320776.0,4503,441,315832
golang,10,32,373260400,319440.0,4503,441,314496
golang,10,33,382527184,313648.0,4503,441,308704
golang,10,34,396591256,344424.0,4503,441,339480
golang,10,35,410491256,342312.0,4503,441,337368
golang,10,36,419758088,342600.0,4503,441,337656
golang,10,37,433658128,344016.0,4503,441,339072
golang,10,38,441554656,441392.0,4503,441,436448
golang,10,39,455454944,439744.0,4503,441,434800
golang,10,40,460088496,439744.0,4503,441,434800
golang,10,41,473988768,439296.0,4503,441,434352
golang,10,42,483256272,439296.0,4503,441,434352
golang,10,43,492523568,440128.0,4503,441,435184
golang,10,44,500982568,534888.0,4503,441,529944
golang,10,45,510250096,535488.0,4503,441,530544
golang,10,46,519517200,535200.0,4503,441,530256
golang,10,47,528784560,535200.0,4503,441,530256
golang,10,48,542685584,535056.0,4503,441,530112
golang,10,49,550855768,629016.0,4503,441,624072
golang,10,50,550936360,635368.0,4503,441,630424
golang,10,51,554999024,641728.0,4503,441,636784
golang,10,52,559632752,638352.0,4503,441,633408
golang,10,53,564266336,638192.0,4503,441,633248
golang,10,54,568900144,638192.0,4503,441,633248
golang,10,55,573533712,638192.0,4503,441,633248
golang,10,56,578167488,638192.0,4503,441,633248
golang,10,57,582801104,637984.0,4503,441,633040
golang,10,58,587434864,637904.0,4503,441,632960
golang,10,59,592068536,638440.0,4503,441,633496
golang,10,60,596702136,638728.0,4503,441,633784
golang,10,61,601335784,638440.0,4503,441,633496
golang,10,62,605757704,648328.0,4503,441,643384
golang,10,63,605886264,654856.0,4503,441,649912
golang,10,64,606018216,661656.0,4503,441,656712
golang,10,65,606116552,668456.0,4503,441,663512
golang,10,66,606194680,675272.0,4503,441,670328
golang,10,67,606262664,682072.0,4503,441,677128
golang,10,68,606331128,688920.0,4503,441,683976
golang,10,69,606402200,695944.0,4503,441,691000
golang,10,70,606472920,703016.0,4503,441,698072
golang,10,71,606544056,710088.0,4503,441,705144
golang,10,72,606614840,717208.0,4503,441,712264
golang,10,73,606688648,724504.0,4503,441,719560
golang,10,74,606764280,731832.0,4503,441,726888
golang,10,75,610221592,739416.0,4503,441,734472
java,10,0,0,0.0,0,0,0
java,10,1,3282280,29544.0,10040,416,19088
java,10,2,8287376,116800.0,95158,1322,20320
java,10,3,12957656,227704.0,196807,9641,21256
java,10,4,19087800,1278408.0,1243157,12523,22728
java,10,5,23469600,1281024.0,1243157,12523,25344
java,10,6,27453008,1280656.0,1243157,12523,24976
java,10,7,33804408,1306344.0,1271581,12763,22000
java,10,8,40212696,1775240.0,1739656,13544,22040
java,10,9,44495712,1829808.0,1791956,14044,23808
java,10,10,48782576,1839520.0,1801701,14331,23488
java,10,11,51874944,1853040.0,1811675,14581,26784
java,10,12,56161280,1868688.0,1829123,14789,24776
java,10,13,61989936,1878592.0,1838623,14985,24984
java,10,14,65075128,1888456.0,1847807,15169,25480
java,10,15,69135600,1895072.0,1857417,15407,22248
java,10,16,75840432,1907552.0,1868736,15816,23000
java,10,17,80847672,2959272.0,2920416,16680,22176
java,10,18,85048312,7154152.0,7115232,16744,22176
java,10,19,89648768,11743136.0,11704040,16936,22160
java,10,20,94113744,16202256.0,16163072,17008,22176
java,10,21,97901200,18316720.0,18273916,18412,24392
java,10,22,101876944,18326816.0,18283587,18685,24544
java,10,23,108502280,18344232.0,18285813,19315,39104
java,10,24,111153272,18334728.0,18286375,19273,29080
java,10,25,116453080,18345432.0,18295662,19434,30336
java,10,26,121752904,18361160.0,18305361,19679,36120
java,10,27,128379952,18392080.0,18337788,20204,34088
java,10,28,132354872,18392152.0,18338214,20306,33632
java,10,29,137655992,18416040.0,18362894,21450,31696
java,10,30,144281016,18433368.0,18380327,21673,31368
java,10,31,149717464,18486104.0,18423015,22081,41008
java,10,32,156342464,18490016.0,18436762,22270,30984
java,10,33,160317648,18495792.0,18437449,22399,35944
java,10,34,166345272,18491720.0,18438700,22620,30400
java,10,35,169723736,18492696.0,18439435,22693,30568
java,10,36,174791104,18505248.0,18448858,22870,33520
java,10,37,179858192,18504176.0,18450710,23106,30360
java,10,38,186613336,18518568.0,18460302,23370,34896
java,10,39,193368472,18523304.0,18461771,23845,37688
java,10,40,200124128,18518288.0,18462799,23945,31544
java,10,41,203502880,18518272.0,18464167,24081,30024
java,10,42,208569384,18528520.0,18472934,24178,31408
java,10,43,211946952,18527944.0,18472934,24178,30832
java,10,44,217013368,18539368.0,18474419,24421,40528
java,10,45,223769128,18540616.0,18475472,24624,40520
java,10,46,230526432,18544384.0,18483856,24712,35816
java,10,47,237281568,18595104.0,18528182,25282,41640
java,10,48,242348152,18591800.0,18528878,25402,37520
java,10,49,247414640,18591792.0,18529120,25432,37240
java,10,50,250065632,18592640.0,18529436,25484,37720
java,10,51,252716640,18597504.0,18537912,25560,34032
java,10,52,255367952,18602656.0,18538653,25675,38328
java,10,53,258019024,18599632.0,18538867,25693,35072
java,10,54,260670192,18596240.0,18539458,25782,31000
java,10,55,262033904,18682656.0,18624203,26605,31848
java,10,56,262605992,18873448.0,18803259,26805,43384
java,10,57,265256984,18906472.0,18836219,26869,43384
