class,elements,total_time,threads,write_level
ConcurrentHashMap,50,3801518,1,1
ConcurrentHashMap,50,4590778,4,1
ConcurrentHashMap,50,3519674,7,1
ConcurrentHashMap,50,4911861,10,1
SynchronizedMap,50,466765,1,1
SynchronizedMap,50,10091812,4,1
SynchronizedMap,50,1111660,7,1
SynchronizedMap,50,2058098,10,1
SynchronizedRandomAccessList,50,723176,1,1
SynchronizedRandomAccessList,50,5089847,4,1
SynchronizedRandomAccessList,50,5112776,7,1
SynchronizedRandomAccessList,50,1970914,10,1
CopyOnWriteArrayList,50,222289,1,1
CopyOnWriteArrayList,50,545353,4,1
CopyOnWriteArrayList,50,1089078,7,1
CopyOnWriteArrayList,50,1871746,10,1
ConcurrentHashMap,100,409241,1,1
ConcurrentHashMap,100,1368756,4,1
ConcurrentHashMap,100,6563831,7,1
ConcurrentHashMap,100,8402499,10,1
SynchronizedMap,100,219704,1,1
SynchronizedMap,100,13610632,4,1
SynchronizedMap,100,2427360,7,1
SynchronizedMap,100,3564386,10,1
SynchronizedRandomAccessList,100,440689,1,1
SynchronizedRandomAccessList,100,779824,4,1
SynchronizedRandomAccessList,100,1992136,7,1
SynchronizedRandomAccessList,100,2095251,10,1
CopyOnWriteArrayList,100,335307,1,1
CopyOnWriteArrayList,100,5577232,4,1
CopyOnWriteArrayList,100,6083948,7,1
CopyOnWriteArrayList,100,5800834,10,1
ConcurrentHashMap,150,420206,1,1
ConcurrentHashMap,150,1132946,4,1
ConcurrentHashMap,150,2379014,7,1
ConcurrentHashMap,150,7063558,10,1
SynchronizedMap,150,683304,1,1
SynchronizedMap,150,1642764,4,1
SynchronizedMap,150,19860488,7,1
SynchronizedMap,150,3049584,10,1
SynchronizedRandomAccessList,150,687430,1,1
SynchronizedRandomAccessList,150,2136604,4,1
SynchronizedRandomAccessList,150,2693252,7,1
SynchronizedRandomAccessList,150,15297032,10,1
CopyOnWriteArrayList,150,1026041,1,1
CopyOnWriteArrayList,150,4119205,4,1
CopyOnWriteArrayList,150,10869026,7,1
CopyOnWriteArrayList,150,22146083,10,1
ConcurrentHashMap,200,615632,1,1
ConcurrentHashMap,200,559671,4,1
ConcurrentHashMap,200,3633861,7,1
ConcurrentHashMap,200,2467930,10,1
SynchronizedMap,200,261930,1,1
SynchronizedMap,200,825622,4,1
SynchronizedMap,200,1242523,7,1
SynchronizedMap,200,1776670,10,1
SynchronizedRandomAccessList,200,414585,1,1
SynchronizedRandomAccessList,200,3481038,4,1
SynchronizedRandomAccessList,200,8808640,7,1
SynchronizedRandomAccessList,200,10046479,10,1
CopyOnWriteArrayList,200,5881789,1,1
CopyOnWriteArrayList,200,5590277,4,1
CopyOnWriteArrayList,200,14013779,7,1
CopyOnWriteArrayList,200,36566376,10,1
ConcurrentHashMap,250,294597,1,1
